Model,Class,Precision,Recall,F1-score,Support,CV_Mean,CV_Std
KNN (k=5),Low,0.6842105263157895,1.0,0.8125000000000001,13.0,0.711111111111111,0.08888888888888889
KNN (k=5),High,1.0,0.14285714285714285,0.25,7.0,0.711111111111111,0.08888888888888889
SVM (RBF),Low,0.65,1.0,0.787878787878788,13.0,0.6222222222222221,0.05443310539518171
SVM (RBF),High,0.0,0.0,0.0,7.0,0.6222222222222221,0.05443310539518171
Random Forest,Low,0.8,0.9230769230769231,0.8571428571428571,13.0,0.6888888888888889,0.04444444444444447
Random Forest,High,0.8,0.5714285714285714,0.6666666666666666,7.0,0.6888888888888889,0.04444444444444447
Gradient Boosting,Low,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0,0.5333333333333334,0.1474055462380178
Gradient Boosting,High,0.3333333333333333,0.2857142857142857,0.30769230769230765,7.0,0.5333333333333334,0.1474055462380178
Logistic Regression,Low,0.8571428571428571,0.9230769230769231,0.888888888888889,13.0,0.8444444444444444,0.11331154474650633
Logistic Regression,High,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0,0.8444444444444444,0.11331154474650633
