Feature,MeanAbsSHAP
HDR_actual_DNA,0.05318556318193757
Estimated_Edited_Cells,0.052441272244001746
HDR_nanodrop (ng/ul),0.04174105610060259
Average_Total_Cells,0.034707751305330416
%_Successful_Edited_Cells,0.03145965786118794
Library Size,0.027258689133189448
Average_Cell_Count,0.023884071447164864
gRNA_Qubit (ng/ul),0.022979722365665024
%_Surviving_Cells,0.020082219298369154
Total Reads,0.018874671408286157
HDR_A260/A280,0.01615154105011182
Accepted Reads,0.01533524251306136
Library Coverage,0.015051399266339548
Qubit(ng/ul),0.011678411091117323
gRNA_A260/A280,0.011563823194023175
gRNA_nanodrop (ng/ul),0.010664227930144949
% Reference Reads,0.010612356223046569
% Correct Size Insert,0.009330443295221645
Average_TransfectionEfficency_GFP,0.008692248074832383
% PAM Reads,0.008644794569726494
gRNA_A260/A230,0.008129430632299837
% Library Reads,0.007525453886817485
gRNA_actual_DNA,0.006704534643122624
Gini Coefficient,0.005301513269340986
Per_Million_TotalDNA,0.0048458098718408065
% Missing Library Sequence,0.0044413884474057775
HDR_A260/A230,0.003641411508217134
% Unmapped Reads,0.0035194648497971115
